time spent so far, current solution cost, current qty moves
-1.40735e+14,258230,0
1.5e-05,258200,1
0.087444,258194,2
0.293348,258172,3
0.366988,258148,4
0.716138,258141,5
1.87939,258137,10
1.95897,258136,11
13.3077,258127,91
13.7035,258114,93
21.2231,258106,142
21.4718,258096,145
21.5015,258094,146
27.5396,258090,184
37.994,258087,266
38.0192,258083,267
42.8788,258067,307
42.9285,258052,308
43.1304,258045,309
43.2076,258044,310
43.2589,258033,311
46.3031,258025,336
46.3227,258018,337
46.3406,258015,338
47.1941,258011,343
47.2723,258008,344
47.5156,257999,346
47.8824,257990,349
48.8533,257979,355
48.9457,257976,357
134.293,257976,983
