time spent so far, current solution cost, current qty moves
-2.83253e+09,763970,0
4e-06,763947,1
0.092745,763934,2
0.247231,763919,3
1.31027,763909,4
1.50543,763905,5
1.5683,763903,6
1.74174,763902,7
1.86167,763898,8
2.33039,763897,9
4.1468,763891,11
4.21525,763884,12
5.68755,763878,14
6.74218,763877,15
7.15861,763874,17
8.45361,763850,19
8.68585,763846,21
10.6486,763825,24
10.6853,763810,25
10.8461,763797,26
12.6092,763794,30
12.7689,763792,32
13.6134,763778,34
13.6588,763763,35
992.131,763763,1911
