time spent so far, current solution cost, current qty moves
-3.15395e+09,511627,0
3e-06,511595,1
0.010424,511571,2
0.071245,511557,3
0.091089,511529,4
0.241374,511505,5
0.578345,511498,6
1.0506,511480,8
1.07998,511461,9
1.41997,511449,10
1.46287,511447,11
1.59297,511402,13
1.64273,511400,14
1.70574,511388,15
2.56447,511387,21
2.87692,511383,22
2.91321,511381,23
3.10954,511373,25
4.0883,511372,32
4.12154,511370,33
4.30797,511369,34
4.37071,511364,35
4.50727,511331,37
4.79667,511315,38
6.15928,511299,45
6.21731,511290,46
22.9537,511276,181
23.0139,511264,182
23.0618,511256,183
23.3983,511254,184
54.0711,511235,428
54.094,511222,429
54.3569,511220,432
54.3674,511213,433
54.53,511210,434
55.0617,511199,440
55.0881,511196,441
55.1882,511188,445
84.3123,511186,690
238.847,511186,1941
