time spent so far, current solution cost, current qty moves
-3.06708e+09,797916,0
3e-06,797836,1
0.089689,797818,2
1.60247,797807,3
1.74107,797685,4
3.57705,797649,5
3.64123,797648,6
5.25886,797627,7
5.42522,797605,8
6.77612,797582,9
6.90493,797575,10
8.24827,797538,11
8.71738,797506,13
8.85323,797490,14
10.0644,797486,15
10.1512,797484,16
11.292,797466,17
11.4628,797448,18
12.8762,797438,21
14.2408,797426,23
14.3591,797349,24
14.4849,797330,25
14.5602,797304,26
1083.4,797300,1876
2182.42,797300,3752
