Input file name,Solution cost,Time spent,Optimal
ga250a-1__bf-0_a1-2.5_l-0.01-0.05,257957.00000,12.16098,0
ga250a-1__bf-0_a1-2.5_l-0.04-0.08,257971.00000,10.52899,0
ga250a-1__bf-0_a1-2.5_l-0.01-0.08,257971.00000,19.78761,0
ga250a-1__bf-1_a1-2.5_l-0.01-0.05,257971.00000,15.99698,0
ga250a-1__bf-1_a1-2.5_l-0.04-0.08,257984.00000,15.91874,0
ga250a-1__bf-1_a1-2.5_l-0.01-0.08,257971.00000,15.24736,0

ga250a-2__bf-0_a1-2.5_l-0.01-0.05,257502.00000,8.59356,0
ga250a-2__bf-0_a1-2.5_l-0.04-0.08,257502.00000,10.81326,0
ga250a-2__bf-0_a1-2.5_l-0.01-0.08,257502.00000,10.58817,0
ga250a-2__bf-1_a1-2.5_l-0.01-0.05,257502.00000,7.69931,0
ga250a-2__bf-1_a1-2.5_l-0.04-0.08,257502.00000,10.26854,0
ga250a-2__bf-1_a1-2.5_l-0.01-0.08,257502.00000,15.05086,0

ga250a-3__bf-0_a1-2.5_l-0.01-0.05,257953.00000,19.80356,0
ga250a-3__bf-0_a1-2.5_l-0.04-0.08,257977.00000,13.39120,0
ga250a-3__bf-0_a1-2.5_l-0.01-0.08,257986.00000,27.09800,0
ga250a-3__bf-1_a1-2.5_l-0.01-0.05,257988.00000,21.90557,0
ga250a-3__bf-1_a1-2.5_l-0.04-0.08,257976.00000,15.62026,0
ga250a-3__bf-1_a1-2.5_l-0.01-0.08,257966.00000,14.86935,0

ga250a-4__bf-0_a1-2.5_l-0.01-0.05,257987.00000,12.11329,0
ga250a-4__bf-0_a1-2.5_l-0.04-0.08,257987.00000,11.38714,0
ga250a-4__bf-0_a1-2.5_l-0.01-0.08,258005.00000,29.50490,0
ga250a-4__bf-1_a1-2.5_l-0.01-0.05,257987.00000,12.11302,0
ga250a-4__bf-1_a1-2.5_l-0.04-0.08,257987.00000,11.48960,0
ga250a-4__bf-1_a1-2.5_l-0.01-0.08,257987.00000,11.35963,0

ga250a-5__bf-0_a1-2.5_l-0.01-0.05,258199.00000,10.23638,0
ga250a-5__bf-0_a1-2.5_l-0.04-0.08,258204.00000,11.24681,0
ga250a-5__bf-0_a1-2.5_l-0.01-0.08,258199.00000,16.67590,0
ga250a-5__bf-1_a1-2.5_l-0.01-0.05,258201.00000,16.20542,0
ga250a-5__bf-1_a1-2.5_l-0.04-0.08,258204.00000,15.05875,0
ga250a-5__bf-1_a1-2.5_l-0.01-0.08,258204.00000,11.89871,0

ga250b-1__bf-0_a1-2.5_l-0.01-0.05,276296.00000,11.80131,0
ga250b-1__bf-0_a1-2.5_l-0.04-0.08,276339.00000,11.76371,0
ga250b-1__bf-0_a1-2.5_l-0.01-0.08,276296.00000,21.50613,0
ga250b-1__bf-1_a1-2.5_l-0.01-0.05,276296.00000,13.66226,0
ga250b-1__bf-1_a1-2.5_l-0.04-0.08,276296.00000,15.70143,0
ga250b-1__bf-1_a1-2.5_l-0.01-0.08,276296.00000,15.57287,0

ga250b-2__bf-0_a1-2.5_l-0.01-0.05,275141.00000,12.07694,0
ga250b-2__bf-0_a1-2.5_l-0.04-0.08,275150.00000,12.75084,0
ga250b-2__bf-0_a1-2.5_l-0.01-0.08,275141.00000,15.86389,0
ga250b-2__bf-1_a1-2.5_l-0.01-0.05,275141.00000,10.94781,0
ga250b-2__bf-1_a1-2.5_l-0.04-0.08,275141.00000,18.92184,0
ga250b-2__bf-1_a1-2.5_l-0.01-0.08,275141.00000,17.51601,0

ga250b-3__bf-0_a1-2.5_l-0.01-0.05,276093.00000,12.41283,0
ga250b-3__bf-0_a1-2.5_l-0.04-0.08,276093.00000,11.40347,0
ga250b-3__bf-0_a1-2.5_l-0.01-0.08,276093.00000,12.09959,0
ga250b-3__bf-1_a1-2.5_l-0.01-0.05,276093.00000,11.70737,0
ga250b-3__bf-1_a1-2.5_l-0.04-0.08,276093.00000,11.65284,0
ga250b-3__bf-1_a1-2.5_l-0.01-0.08,276093.00000,11.78632,0

ga250b-4__bf-0_a1-2.5_l-0.01-0.05,276332.00000,14.63859,0
ga250b-4__bf-0_a1-2.5_l-0.04-0.08,276347.00000,11.39142,0
ga250b-4__bf-0_a1-2.5_l-0.01-0.08,276347.00000,11.70618,0
ga250b-4__bf-1_a1-2.5_l-0.01-0.05,276332.00000,23.66910,0
ga250b-4__bf-1_a1-2.5_l-0.04-0.08,276347.00000,12.68172,0
ga250b-4__bf-1_a1-2.5_l-0.01-0.08,276347.00000,13.18186,0

ga250b-5__bf-0_a1-2.5_l-0.01-0.05,276404.00000,9.79820,0
ga250b-5__bf-0_a1-2.5_l-0.04-0.08,276715.00000,13.95794,0
ga250b-5__bf-0_a1-2.5_l-0.01-0.08,276404.00000,10.31459,0
ga250b-5__bf-1_a1-2.5_l-0.01-0.05,276404.00000,9.65556,0
ga250b-5__bf-1_a1-2.5_l-0.04-0.08,276404.00000,14.96265,0
ga250b-5__bf-1_a1-2.5_l-0.01-0.08,276404.00000,12.00961,0

ga250c-1__bf-0_a1-2.5_l-0.01-0.05,334541.00000,18.33150,0
ga250c-1__bf-0_a1-2.5_l-0.04-0.08,334694.00000,12.59867,0
ga250c-1__bf-0_a1-2.5_l-0.01-0.08,334658.00000,24.10802,0
ga250c-1__bf-1_a1-2.5_l-0.01-0.05,334135.00000,13.94845,0
ga250c-1__bf-1_a1-2.5_l-0.04-0.08,334135.00000,19.05354,0
ga250c-1__bf-1_a1-2.5_l-0.01-0.08,334135.00000,22.26069,0

ga250c-2__bf-0_a1-2.5_l-0.01-0.05,330728.00000,16.77013,0
ga250c-2__bf-0_a1-2.5_l-0.04-0.08,331344.00000,12.19218,0
ga250c-2__bf-0_a1-2.5_l-0.01-0.08,330728.00000,38.63851,0
ga250c-2__bf-1_a1-2.5_l-0.01-0.05,330728.00000,13.73294,0
ga250c-2__bf-1_a1-2.5_l-0.04-0.08,330728.00000,11.63942,0
ga250c-2__bf-1_a1-2.5_l-0.01-0.08,330728.00000,12.86825,0

ga250c-3__bf-0_a1-2.5_l-0.01-0.05,333662.00000,17.72250,0
ga250c-3__bf-0_a1-2.5_l-0.04-0.08,333662.00000,13.15905,0
ga250c-3__bf-0_a1-2.5_l-0.01-0.08,333662.00000,15.25701,0
ga250c-3__bf-1_a1-2.5_l-0.01-0.05,333662.00000,15.76222,0
ga250c-3__bf-1_a1-2.5_l-0.04-0.08,333662.00000,13.37194,0
ga250c-3__bf-1_a1-2.5_l-0.01-0.08,333662.00000,14.50175,0

ga250c-4__bf-0_a1-2.5_l-0.01-0.05,332423.00000,30.97018,0
ga250c-4__bf-0_a1-2.5_l-0.04-0.08,332423.00000,21.73202,0
ga250c-4__bf-0_a1-2.5_l-0.01-0.08,332423.00000,17.25834,0
ga250c-4__bf-1_a1-2.5_l-0.01-0.05,332423.00000,13.71905,0
ga250c-4__bf-1_a1-2.5_l-0.04-0.08,332423.00000,11.46169,0
ga250c-4__bf-1_a1-2.5_l-0.01-0.08,332423.00000,11.99169,0

ga250c-5__bf-0_a1-2.5_l-0.01-0.05,333538.00000,20.97637,0
ga250c-5__bf-0_a1-2.5_l-0.04-0.08,333538.00000,12.00754,0
ga250c-5__bf-0_a1-2.5_l-0.01-0.08,333538.00000,13.84866,0
ga250c-5__bf-1_a1-2.5_l-0.01-0.05,333538.00000,9.92128,0
ga250c-5__bf-1_a1-2.5_l-0.04-0.08,333538.00000,21.17961,0
ga250c-5__bf-1_a1-2.5_l-0.01-0.08,333538.00000,10.19157,0

ga500a-1__bf-0_a1-2.5_l-0.01-0.05,511414.00000,180.70286,0
ga500a-1__bf-0_a1-2.5_l-0.04-0.08,511450.00000,170.94025,0
ga500a-1__bf-0_a1-2.5_l-0.01-0.08,511432.00000,179.20891,0
ga500a-1__bf-1_a1-2.5_l-0.01-0.05,511413.00000,175.37938,0
ga500a-1__bf-1_a1-2.5_l-0.04-0.08,511440.00000,230.13739,0
ga500a-1__bf-1_a1-2.5_l-0.01-0.08,511390.00000,321.95868,0

ga500a-2__bf-0_a1-2.5_l-0.01-0.05,511279.00000,501.79636,0
ga500a-2__bf-0_a1-2.5_l-0.04-0.08,511299.00000,348.29176,0
ga500a-2__bf-0_a1-2.5_l-0.01-0.08,511294.00000,305.13531,0
ga500a-2__bf-1_a1-2.5_l-0.01-0.05,511266.00000,619.63553,0
ga500a-2__bf-1_a1-2.5_l-0.04-0.08,511324.00000,211.10840,0
ga500a-2__bf-1_a1-2.5_l-0.01-0.08,511278.00000,318.44447,0

ga500a-3__bf-0_a1-2.5_l-0.01-0.05,510810.00000,241.25132,0
ga500a-3__bf-0_a1-2.5_l-0.04-0.08,510878.00000,229.09221,0
ga500a-3__bf-0_a1-2.5_l-0.01-0.08,510813.00000,314.11894,0
ga500a-3__bf-1_a1-2.5_l-0.01-0.05,510813.00000,358.19337,0
ga500a-3__bf-1_a1-2.5_l-0.04-0.08,510826.00000,215.24813,0
ga500a-3__bf-1_a1-2.5_l-0.01-0.08,510855.00000,355.29972,0

ga500a-4__bf-0_a1-2.5_l-0.01-0.05,511050.00000,335.89274,0
ga500a-4__bf-0_a1-2.5_l-0.04-0.08,511079.00000,287.72477,0
ga500a-4__bf-0_a1-2.5_l-0.01-0.08,511074.00000,267.19233,0
ga500a-4__bf-1_a1-2.5_l-0.01-0.05,511051.00000,273.32726,0
ga500a-4__bf-1_a1-2.5_l-0.04-0.08,511054.00000,197.13465,0
ga500a-4__bf-1_a1-2.5_l-0.01-0.08,511059.00000,180.24439,0

ga500a-5__bf-0_a1-2.5_l-0.01-0.05,511256.00000,206.64445,0
ga500a-5__bf-0_a1-2.5_l-0.04-0.08,511256.00000,176.30298,0
ga500a-5__bf-0_a1-2.5_l-0.01-0.08,511229.00000,272.96497,0
ga500a-5__bf-1_a1-2.5_l-0.01-0.05,511256.00000,173.75283,0
ga500a-5__bf-1_a1-2.5_l-0.04-0.08,511256.00000,174.34050,0
ga500a-5__bf-1_a1-2.5_l-0.01-0.08,511256.00000,169.15334,0

ga500b-1__bf-0_a1-2.5_l-0.01-0.05,538060.00000,207.40965,0
ga500b-1__bf-0_a1-2.5_l-0.04-0.08,538060.00000,178.44391,0
ga500b-1__bf-0_a1-2.5_l-0.01-0.08,538060.00000,180.39879,0
ga500b-1__bf-1_a1-2.5_l-0.01-0.05,538060.00000,174.88249,0
ga500b-1__bf-1_a1-2.5_l-0.04-0.08,538060.00000,168.91542,0
ga500b-1__bf-1_a1-2.5_l-0.01-0.08,538060.00000,178.12790,0

ga500b-2__bf-0_a1-2.5_l-0.01-0.05,537857.00000,231.76151,0
ga500b-2__bf-0_a1-2.5_l-0.04-0.08,538222.00000,195.35689,0
ga500b-2__bf-0_a1-2.5_l-0.01-0.08,538235.00000,211.83069,0
ga500b-2__bf-1_a1-2.5_l-0.01-0.05,537921.00000,278.30279,0
ga500b-2__bf-1_a1-2.5_l-0.04-0.08,538177.00000,179.32055,0
ga500b-2__bf-1_a1-2.5_l-0.01-0.08,537910.00000,257.67356,0

ga500b-3__bf-0_a1-2.5_l-0.01-0.05,538048.00000,246.79574,0
ga500b-3__bf-0_a1-2.5_l-0.04-0.08,538255.00000,244.54567,0
ga500b-3__bf-0_a1-2.5_l-0.01-0.08,537924.00000,218.10085,0
ga500b-3__bf-1_a1-2.5_l-0.01-0.05,538109.00000,201.30042,0
ga500b-3__bf-1_a1-2.5_l-0.04-0.08,538497.00000,200.95667,0
ga500b-3__bf-1_a1-2.5_l-0.01-0.08,537924.00000,243.71784,0

ga500b-4__bf-0_a1-2.5_l-0.01-0.05,537968.00000,314.84298,0
ga500b-4__bf-0_a1-2.5_l-0.04-0.08,538219.00000,188.90474,0
ga500b-4__bf-0_a1-2.5_l-0.01-0.08,538219.00000,180.37892,0
ga500b-4__bf-1_a1-2.5_l-0.01-0.05,537925.00000,430.80512,0
ga500b-4__bf-1_a1-2.5_l-0.04-0.08,538204.00000,326.68028,0
ga500b-4__bf-1_a1-2.5_l-0.01-0.08,538030.00000,199.38873,0

ga500b-5__bf-0_a1-2.5_l-0.01-0.05,537482.00000,437.52564,0
ga500b-5__bf-0_a1-2.5_l-0.04-0.08,537889.00000,232.73522,0
ga500b-5__bf-0_a1-2.5_l-0.01-0.08,537715.00000,349.61781,0
ga500b-5__bf-1_a1-2.5_l-0.01-0.05,537548.00000,241.34649,0
ga500b-5__bf-1_a1-2.5_l-0.04-0.08,537849.00000,187.24957,0
ga500b-5__bf-1_a1-2.5_l-0.01-0.08,537648.00000,297.45741,0

ga500c-1__bf-0_a1-2.5_l-0.01-0.05,621581.00000,258.03189,0
ga500c-1__bf-0_a1-2.5_l-0.04-0.08,621581.00000,187.29268,0
ga500c-1__bf-0_a1-2.5_l-0.01-0.08,621581.00000,205.30755,0
ga500c-1__bf-1_a1-2.5_l-0.01-0.05,621505.00000,241.44621,0
ga500c-1__bf-1_a1-2.5_l-0.04-0.08,621581.00000,187.72030,0
ga500c-1__bf-1_a1-2.5_l-0.01-0.08,621581.00000,203.19995,0

ga500c-2__bf-0_a1-2.5_l-0.01-0.05,622464.00000,416.56747,0
ga500c-2__bf-0_a1-2.5_l-0.04-0.08,622940.00000,194.08885,0
ga500c-2__bf-0_a1-2.5_l-0.01-0.08,622940.00000,203.06150,0
ga500c-2__bf-1_a1-2.5_l-0.01-0.05,621464.00000,260.67850,0
ga500c-2__bf-1_a1-2.5_l-0.04-0.08,622628.00000,192.16385,0
ga500c-2__bf-1_a1-2.5_l-0.01-0.08,622464.00000,307.39747,0

ga500c-3__bf-0_a1-2.5_l-0.01-0.05,621672.00000,231.29084,0
ga500c-3__bf-0_a1-2.5_l-0.04-0.08,621672.00000,198.62486,0
ga500c-3__bf-0_a1-2.5_l-0.01-0.08,621672.00000,210.62885,0
ga500c-3__bf-1_a1-2.5_l-0.01-0.05,621428.00000,479.82427,0
ga500c-3__bf-1_a1-2.5_l-0.04-0.08,621841.00000,198.31418,0
ga500c-3__bf-1_a1-2.5_l-0.01-0.08,621841.00000,208.47902,0

ga500c-4__bf-0_a1-2.5_l-0.01-0.05,622042.00000,210.89305,0
ga500c-4__bf-0_a1-2.5_l-0.04-0.08,622042.00000,191.90853,0
ga500c-4__bf-0_a1-2.5_l-0.01-0.08,622042.00000,198.31398,0
ga500c-4__bf-1_a1-2.5_l-0.01-0.05,621754.00000,373.87249,0
ga500c-4__bf-1_a1-2.5_l-0.04-0.08,622042.00000,191.88158,0
ga500c-4__bf-1_a1-2.5_l-0.01-0.08,622042.00000,197.49155,0

ga500c-5__bf-0_a1-2.5_l-0.01-0.05,621397.00000,379.88295,0
ga500c-5__bf-0_a1-2.5_l-0.04-0.08,622365.00000,208.86467,0
ga500c-5__bf-0_a1-2.5_l-0.01-0.08,622181.00000,346.44539,0
ga500c-5__bf-1_a1-2.5_l-0.01-0.05,621313.00000,253.12647,0
ga500c-5__bf-1_a1-2.5_l-0.04-0.08,621447.00000,218.48788,0
ga500c-5__bf-1_a1-2.5_l-0.01-0.08,621447.00000,224.05660,0

ga750a-1__bf-0_a1-2.5_l-0.01-0.05,763532.00000,1008.79103,0
ga750a-1__bf-0_a1-2.5_l-0.04-0.08,763622.00000,1930.83999,0
ga750a-1__bf-0_a1-2.5_l-0.01-0.08,763587.00000,1756.52392,0
ga750a-1__bf-1_a1-2.5_l-0.01-0.05,763532.00000,1190.69369,0
ga750a-1__bf-1_a1-2.5_l-0.04-0.08,763528.00000,966.06494,0
ga750a-1__bf-1_a1-2.5_l-0.01-0.08,763638.00000,1179.31584,0

ga750a-2__bf-0_a1-2.5_l-0.01-0.05,763647.00000,2043.23739,0
ga750a-2__bf-0_a1-2.5_l-0.04-0.08,763783.00000,1541.10434,0
ga750a-2__bf-0_a1-2.5_l-0.01-0.08,763710.00000,1215.14917,0
ga750a-2__bf-1_a1-2.5_l-0.01-0.05,763659.00000,1270.38516,0
ga750a-2__bf-1_a1-2.5_l-0.04-0.08,763748.00000,1142.50852,0
ga750a-2__bf-1_a1-2.5_l-0.01-0.08,763666.00000,1828.52335,0

ga750a-3__bf-0_a1-2.5_l-0.01-0.05,763727.00000,1005.26104,0
ga750a-3__bf-0_a1-2.5_l-0.04-0.08,763783.00000,964.58309,0
ga750a-3__bf-0_a1-2.5_l-0.01-0.08,763783.00000,959.90291,0
ga750a-3__bf-1_a1-2.5_l-0.01-0.05,763704.00000,1968.97144,0
ga750a-3__bf-1_a1-2.5_l-0.04-0.08,763763.00000,964.03708,0
ga750a-3__bf-1_a1-2.5_l-0.01-0.08,763763.00000,992.13059,0

ga750a-4__bf-0_a1-2.5_l-0.01-0.05,763977.00000,1049.07631,0
ga750a-4__bf-0_a1-2.5_l-0.04-0.08,763977.00000,984.63163,0
ga750a-4__bf-0_a1-2.5_l-0.01-0.08,763977.00000,972.91725,0
ga750a-4__bf-1_a1-2.5_l-0.01-0.05,763968.00000,951.01424,0
