Input file name,Solution cost,Time spent,Optimal
ga250a-1__a1-2.5_l-0.01-0.08,257971.00000,126.49952,0
ga250a-1__a1-1_l-0.01-0.08,257971.00000,78.23364,0
ga250a-1__a1-0.5_l-0.01-0.08,258006.00000,19.77261,0
ga250a-1__a1-0.1_l-0.01-0.08,258006.00000,5.44733,0
ga250a-2__a1-2.5_l-0.01-0.08,257502.00000,124.75185,0
ga250a-2__a1-1_l-0.01-0.08,257504.00000,43.86412,0
ga250a-2__a1-0.5_l-0.01-0.08,257504.00000,30.48924,0
ga250a-2__a1-0.1_l-0.01-0.08,257583.00000,3.39480,0
ga250a-3__a1-2.5_l-0.01-0.08,257966.00000,123.61009,0
ga250a-3__a1-1_l-0.01-0.08,257966.00000,74.40651,0
ga250a-3__a1-0.5_l-0.01-0.08,258078.00000,28.31665,0
ga250a-3__a1-0.1_l-0.01-0.08,258136.00000,4.76622,0
ga250a-4__a1-2.5_l-0.01-0.08,257987.00000,94.22741,0
ga250a-4__a1-1_l-0.01-0.08,257987.00000,38.19314,0
ga250a-4__a1-0.5_l-0.01-0.08,257987.00000,22.08239,0
ga250a-4__a1-0.1_l-0.01-0.08,257987.00000,6.30008,0
ga250a-5__a1-2.5_l-0.01-0.08,258204.00000,98.40898,0
ga250a-5__a1-1_l-0.01-0.08,258204.00000,46.18973,0
ga250a-5__a1-0.5_l-0.01-0.08,258204.00000,29.98346,0
ga250a-5__a1-0.1_l-0.01-0.08,258204.00000,15.11721,0
