Input file name,Solution cost,Time spent,Optimal
ga250a-1__a1-2.5_l-0.01-0.05,257971.00000,135.39040,0
ga250a-1__a1-1_l-0.01-0.05,257985.00000,36.78044,0
ga250a-1__a1-0.5_l-0.01-0.05,257985.00000,19.26098,0
ga250a-1__a1-0.1_l-0.01-0.05,257985.00000,5.64475,0
ga250a-1__a1-2.5_l-0.04-0.08,257984.00000,131.57818,0
ga250a-1__a1-1_l-0.04-0.08,257993.00000,33.71026,0
ga250a-1__a1-0.5_l-0.04-0.08,257993.00000,17.59479,0
ga250a-1__a1-0.1_l-0.04-0.08,257993.00000,5.18878,0
ga250a-1__a1-2.5_l-0.1-0.2,257998.00000,84.53915,0
ga250a-1__a1-1_l-0.1-0.2,257998.00000,35.71050,0
ga250a-1__a1-0.5_l-0.1-0.2,257998.00000,18.72808,0
ga250a-1__a1-0.1_l-0.1-0.2,257998.00000,5.52570,0
ga250a-2__a1-2.5_l-0.01-0.05,257502.00000,66.32205,0
ga250a-2__a1-1_l-0.01-0.05,257502.00000,27.23556,0
ga250a-2__a1-0.5_l-0.01-0.05,257502.00000,14.99617,0
ga250a-2__a1-0.1_l-0.01-0.05,257502.00000,5.40416,0
ga250a-2__a1-2.5_l-0.04-0.08,257502.00000,85.87117,0
ga250a-2__a1-1_l-0.04-0.08,257502.00000,40.60064,0
ga250a-2__a1-0.5_l-0.04-0.08,257502.00000,25.14176,0
ga250a-2__a1-0.1_l-0.04-0.08,257514.00000,7.85809,0
ga250a-2__a1-2.5_l-0.1-0.2,257583.00000,84.66850,0
ga250a-2__a1-1_l-0.1-0.2,257583.00000,34.58208,0
ga250a-2__a1-0.5_l-0.1-0.2,257583.00000,17.40435,0
ga250a-2__a1-0.1_l-0.1-0.2,257583.00000,3.92490,0
ga250a-3__a1-2.5_l-0.01-0.05,257988.00000,184.53215,0
ga250a-3__a1-1_l-0.01-0.05,258083.00000,47.97218,0
ga250a-3__a1-0.5_l-0.01-0.05,258083.00000,33.92622,0
ga250a-3__a1-0.1_l-0.01-0.05,258136.00000,4.83628,0
ga250a-3__a1-2.5_l-0.04-0.08,257976.00000,134.29304,0
ga250a-3__a1-1_l-0.04-0.08,257976.00000,81.38663,0
ga250a-3__a1-0.5_l-0.04-0.08,257976.00000,66.67693,0
ga250a-3__a1-0.1_l-0.04-0.08,258136.00000,5.12693,0
ga250a-3__a1-2.5_l-0.1-0.2,258020.00000,102.19191,0
ga250a-3__a1-1_l-0.1-0.2,258020.00000,51.62592,0
ga250a-3__a1-0.5_l-0.1-0.2,258020.00000,36.79789,0
ga250a-3__a1-0.1_l-0.1-0.2,258136.00000,6.03392,0
ga250a-4__a1-2.5_l-0.01-0.05,257987.00000,105.66398,0
ga250a-4__a1-1_l-0.01-0.05,257987.00000,45.50883,0
ga250a-4__a1-0.5_l-0.01-0.05,257987.00000,23.83190,0
ga250a-4__a1-0.1_l-0.01-0.05,257987.00000,7.85459,0
ga250a-4__a1-2.5_l-0.04-0.08,257987.00000,100.76299,0
ga250a-4__a1-1_l-0.04-0.08,257987.00000,40.96772,0
ga250a-4__a1-0.5_l-0.04-0.08,257987.00000,21.71349,0
ga250a-4__a1-0.1_l-0.04-0.08,257987.00000,7.06389,0
ga250a-4__a1-2.5_l-0.1-0.2,257987.00000,92.21111,0
ga250a-4__a1-1_l-0.1-0.2,257987.00000,38.68106,0
ga250a-4__a1-0.5_l-0.1-0.2,257987.00000,20.91589,0
ga250a-4__a1-0.1_l-0.1-0.2,257987.00000,7.53432,0
ga250a-5__a1-2.5_l-0.01-0.05,258201.00000,134.14777,0
ga250a-5__a1-1_l-0.01-0.05,258204.00000,43.02489,0
ga250a-5__a1-0.5_l-0.01-0.05,258204.00000,22.02415,0
ga250a-5__a1-0.1_l-0.01-0.05,258204.00000,7.23818,0
ga250a-5__a1-2.5_l-0.04-0.08,258204.00000,128.49117,0
ga250a-5__a1-1_l-0.04-0.08,258204.00000,78.18385,0
ga250a-5__a1-0.5_l-0.04-0.08,258222.00000,28.09247,0
ga250a-5__a1-0.1_l-0.04-0.08,258267.00000,6.87965,0
ga250a-5__a1-2.5_l-0.1-0.2,258260.00000,88.71903,0
ga250a-5__a1-1_l-0.1-0.2,258260.00000,41.84840,0
ga250a-5__a1-0.5_l-0.1-0.2,258260.00000,23.47867,0
ga250a-5__a1-0.1_l-0.1-0.2,258260.00000,8.48835,0
